Timestamp,Total Throughput,Offered Load    
2014-04-12T21:08:00+03:00,3360.7522516,3367.1813197
2014-04-12T21:12:00+03:00,5187.451457,5293.8694531
2014-04-12T21:16:00+03:00,6252.2686741,7683.8580818
2014-04-12T21:20:00+03:00,6391.0236676,10138.794365
2014-04-12T21:24:00+03:00,6488.282529,12210.067404
2014-04-12T21:28:00+03:00,6507.2801016,13558.847761
2014-04-12T21:32:00+03:00,6556.1152519,13946.399656
2014-04-12T21:36:00+03:00,6562.7910761,13303.109001
2014-04-12T21:40:00+03:00,6516.7673478,11739.537555
2014-04-12T21:44:00+03:00,6499.1898456,9543.8897816
2014-04-12T21:48:00+03:00,6173.0750349,7064.2498322
2014-04-12T21:52:00+03:00,4705.4833148,4749.4520527
2014-04-12T21:56:00+03:00,2994.3411769,3002.9160823
2014-04-12T22:00:00+03:00,2109.6354043,2115.4250037
2014-04-12T22:04:00+03:00,2239.8912709,2244.1869439
2014-04-12T22:08:00+03:00,3357.4809668,3366.3057899
2014-04-12T22:12:00+03:00,5234.7017635,5291.6112529
2014-04-12T22:16:00+03:00,6725.6809502,7690.705405
2014-04-12T22:20:00+03:00,7030.4343574,10131.045168
2014-04-12T22:24:00+03:00,7161.7016049,12217.65194
2014-04-12T22:28:00+03:00,7103.9271488,13559.254242
2014-04-12T22:32:00+03:00,7093.1844182,13946.251525
2014-04-12T22:36:00+03:00,7083.3875363,13302.71349
2014-04-12T22:40:00+03:00,7121.5854457,11738.049842
2014-04-12T22:44:00+03:00,6996.7290386,9540.4241854
2014-04-12T22:48:00+03:00,6481.6462736,7068.4065554
2014-04-12T22:52:00+03:00,4722.3311603,4750.4140084
2014-04-12T22:56:00+03:00,2995.1169999,3004.5524785
2014-04-12T23:00:00+03:00,2109.7169768,2115.5790514
2014-04-12T23:04:00+03:00,2240.1003853,2243.6335337
2014-04-12T23:08:00+03:00,3364.1177238,3369.0100423
2014-04-12T23:12:00+03:00,5260.5646993,5300.0888091
2014-04-12T23:16:00+03:00,7010.7735178,7692.4840977
2014-04-12T23:20:00+03:00,6818.7202609,10129.885781
2014-04-12T23:24:00+03:00,7663.0235014,12213.945529
2014-04-12T23:28:00+03:00,7620.6593056,13561.679353
2014-04-12T23:32:00+03:00,7631.6968109,13946.449835
2014-04-12T23:36:00+03:00,7607.9383249,13307.78922
2014-04-12T23:40:00+03:00,7662.4063814,11737.700048
2014-04-12T23:44:00+03:00,7402.549575,9532.6749962
2014-04-12T23:48:00+03:00,6691.8550047,7059.5746981
2014-04-12T23:52:00+03:00,4733.3095223,4760.2564332
2014-04-12T23:56:00+03:00,2993.6358845,3004.4754883
2014-04-13T00:00:00+03:00,2107.5168591,2116.2386471
2014-04-13T00:04:00+03:00,2234.3350909,2243.7123581
2014-04-13T00:08:00+03:00,3357.5042962,3363.6839473
2014-04-13T00:12:00+03:00,5264.3597163,5300.284718
2014-04-13T00:16:00+03:00,6792.5549936,7696.6515265
2014-04-13T00:20:00+03:00,7893.0731288,10140.37562
2014-04-13T00:24:00+03:00,8021.3559508,12216.1997
2014-04-13T00:28:00+03:00,8116.5428396,13561.54367
2014-04-13T00:32:00+03:00,8082.7825684,13946.52421
2014-04-13T00:36:00+03:00,8115.9121998,13307.692408
2014-04-13T00:40:00+03:00,8023.0428128,11744.030688
2014-04-13T00:44:00+03:00,7884.9978664,9534.116434
2014-04-13T00:48:00+03:00,6828.6711046,7071.4485364
2014-04-13T00:52:00+03:00,4734.850719,4755.3844055
2014-04-13T00:56:00+03:00,2992.9872745,3001.9751493
2014-04-13T01:00:00+03:00,2109.937302,2115.6977134
2014-04-13T01:04:00+03:00,2238.4518399,2243.3954441
2014-04-13T01:08:00+03:00,3366.3902429,3374.0894807
2014-04-13T01:12:00+03:00,5269.8332012,5289.2172993
2014-04-13T01:16:00+03:00,7246.2281946,7690.058831
2014-04-13T01:20:00+03:00,6962.4222709,10135.557136
2014-04-13T01:24:00+03:00,8061.4700003,12209.983721
2014-04-13T01:28:00+03:00,8528.4217692,13558.61171
2014-04-13T01:32:00+03:00,8478.851714,13946.25722
2014-04-13T01:36:00+03:00,8499.608193,13304.544364
2014-04-13T01:40:00+03:00,8421.2555824,11748.249838
2014-04-13T01:44:00+03:00,8214.1259781,9537.4657925
2014-04-13T01:48:00+03:00,6916.240439,7065.1757273
2014-04-13T01:52:00+03:00,4736.297354,4755.2039968
2014-04-13T01:56:00+03:00,2993.3210585,3002.3129005
2014-04-13T02:00:00+03:00,2109.228365,2115.8343422
2014-04-13T02:04:00+03:00,2240.7837581,2246.166532
2014-04-13T02:08:00+03:00,3361.0234075,3367.8473441
2014-04-13T02:12:00+03:00,5276.4278558,5294.001948
2014-04-13T02:16:00+03:00,7434.0538775,7685.5573354
2014-04-13T02:20:00+03:00,8280.1345918,10138.247754
2014-04-13T02:24:00+03:00,8387.3382857,12213.599678
2014-04-13T02:28:00+03:00,8523.3436639,13558.063684
2014-04-13T02:32:00+03:00,8476.8113496,13945.778157
2014-04-13T02:36:00+03:00,9046.6616912,13305.110305
2014-04-13T02:40:00+03:00,8700.3436996,11747.081778
2014-04-13T02:44:00+03:00,8602.2495494,9541.4890412
2014-04-13T02:48:00+03:00,6981.6403436,7067.6436065
2014-04-13T02:52:00+03:00,4732.6379473,4752.7758109
2014-04-13T02:56:00+03:00,2993.008671,3003.5535059
2014-04-13T03:00:00+03:00,2109.9372717,2115.8444322
2014-04-13T03:04:00+03:00,2242.4761165,2246.9155067
2014-04-13T03:08:00+03:00,3359.9828001,3367.8153732
2014-04-13T03:12:00+03:00,5277.8432383,5292.428677
2014-04-13T03:16:00+03:00,7529.3954186,7689.2463764
2014-04-13T03:20:00+03:00,8815.5894086,10128.299175
2014-04-13T03:24:00+03:00,9059.2924863,12211.948889
