Apr28 14:38:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9 met: {'inlambda': 2494.3622459739295, 'latency': 10.379478216673572, 'throughput': 2488.0971395571432}
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 26
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 10 met: {'inlambda': 2452.0810290753843, 'latency': 10.491126323642693, 'throughput': 2445.5839709438465}
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 26
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 11 met: {'inlambda': 2451.6490139984612, 'latency': 10.024091142075772, 'throughput': 2444.9381924484615}
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 26
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 12 met: {'inlambda': 2451.9037520830771, 'latency': 9.7998314678657721, 'throughput': 2445.0335166146151}
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: TAKEDECISION Vs: {8: -1245.8285313605966, 9: 54.131608597830599, 10: 49.398988453577566, 11: 46.363200278865847, 12: 43.25624049436523}, max V = 12 V[12] 43.2562404944
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: Decided to change state to_next: 9 from_curr: 8
Apr28 14:38:49 [DEBUG]      RLDecisionMaker: TAKEDECISION: action ADD 1 nodes.
Apr28 14:38:49 [ INFO]          COORDINATOR: Will add 1 nodes
Apr28 14:38:49 [ INFO]              CLUSTER: Adding 1 nodes
Apr28 14:38:49 [ INFO]              CLUSTER: Using cassandra_node_08 from my stash
Apr28 14:38:49 [DEBUG]              CLUSTER: Waiting for all the threads to finish adding
Apr28 14:39:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:39:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: ADD
Apr28 14:39:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:39:19 [DEBUG]      RLDecisionMaker: Last action ADD hasn't finished yet, see you later!
Apr28 14:39:19 [DEBUG]      RLDecisionMaker: Discarding measurement: 8, 2450, 2449, 11492
Apr28 14:39:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:39:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: ADD
Apr28 14:39:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:39:49 [DEBUG]      RLDecisionMaker: Last action ADD hasn't finished yet, see you later!
Apr28 14:39:49 [DEBUG]      RLDecisionMaker: Discarding measurement: 8, 2519, 2515, 11495
Apr28 14:40:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:40:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: ADD
Apr28 14:40:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:40:19 [DEBUG]      RLDecisionMaker: Last action ADD hasn't finished yet, see you later!
Apr28 14:40:19 [DEBUG]      RLDecisionMaker: Discarding measurement: 8, 2596, 2606, 11490
Apr28 14:40:45 [ INFO]              CLUSTER: Node cassandra_node_08 is live 
Apr28 14:40:45 [ INFO]              CLUSTER: Injecting host files
Apr28 14:40:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:40:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: ADD
Apr28 14:40:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:40:49 [DEBUG]      RLDecisionMaker: Last action ADD hasn't finished yet, see you later!
Apr28 14:40:49 [DEBUG]      RLDecisionMaker: Discarding measurement: 8, 2678, 2683, 11489
Apr28 14:41:02 [ INFO]              CLUSTER: Finished adding 1 nodes
Apr28 14:41:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:41:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:41:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:41:19 [DEBUG]      RLDecisionMaker: New decision in 5.0 mins, see you later!
Apr28 14:41:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:41:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:41:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:41:49 [DEBUG]      RLDecisionMaker: New decision in 4.5 mins, see you later!
Apr28 14:42:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:42:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:42:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:42:19 [DEBUG]      RLDecisionMaker: New decision in 4.0 mins, see you later!
Apr28 14:42:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:42:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:42:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:42:49 [DEBUG]      RLDecisionMaker: New decision in 3.5 mins, see you later!
Apr28 14:43:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:43:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:43:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:43:19 [DEBUG]      RLDecisionMaker: New decision in 3.0 mins, see you later!
Apr28 14:43:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:43:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:43:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:43:49 [DEBUG]      RLDecisionMaker: New decision in 2.5 mins, see you later!
Apr28 14:44:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:44:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:44:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:44:19 [DEBUG]      RLDecisionMaker: New decision in 2.0 mins, see you later!
Apr28 14:44:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:44:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:44:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:44:49 [DEBUG]      RLDecisionMaker: New decision in 1.5 mins, see you later!
Apr28 14:45:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:45:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:45:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:45:19 [DEBUG]      RLDecisionMaker: New decision in 1.0 mins, see you later!
Apr28 14:45:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:45:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:45:49 [DEBUG]      RLDecisionMaker: Collecting metrics
