State		Lambda		Throughput		Latency		CPU		Time
6		357.69162831		366.700561651		22.0523367063		0		2014-04-04 15:50:08
6		1125.38692802		1109.40188409		9.33715463703		0		2014-04-04 15:50:38
6		2231.6388371		2194.19847063		19.2094597947		0		2014-04-04 15:51:08
6		3244.97699063		3065.66128193		30.4717651902		0		2014-04-04 15:51:38
6		3771.69933127		3239.27719468		38.7857349276		0		2014-04-04 15:52:08
6		3608.97140441		3338.66330582		25.2695463384		0		2014-04-04 15:52:38
7		2820.05785582		2063.5916798		15.3526648148		0		2014-04-04 15:53:08
7		1712.64632571		1291.14430018		78.6377874249		0		2014-04-04 15:53:38
7		717.999856119		683.258726588		8.785181856		0		2014-04-04 15:54:08
7		217.797919835		205.387157775		6.95765893585		0		2014-04-04 15:54:38
7		404.798535922		401.677865942		12.6388005772		0		2014-04-04 15:55:08
8		1210.51540402		1195.8780131		15.2817634337		0		2014-04-04 15:55:38
8		2322.89667467		2276.49612719		15.3862532499		0		2014-04-04 15:56:08
8		3309.19382279		3197.87269142		16.3679174679		0		2014-04-04 15:56:38
8		3784.93933817		3579.1673702		21.8948270951		0		2014-04-04 15:57:08
8		3565.964753		3377.10268035		30.0769533069		0		2014-04-04 15:57:38
9		2737.28022032		2629.62374248		28.1243275528		0		2014-04-04 15:58:08
9		1684.9783202		1627.73386937		8.27548009114		0		2014-04-04 15:58:38
9		697.237254777		663.973388624		6.98576964898		0		2014-04-04 15:59:08
9		224.539648231		214.507684596		6.27764286988		0		2014-04-04 15:59:38
9		392.170950508		393.212062504		7.19358075397		0		2014-04-04 16:00:08
9		1126.52372004		1110.24014141		10.3138132143		0		2014-04-04 16:00:38
9		2230.54116331		2193.12806062		10.9755062868		0		2014-04-04 16:01:08
9		3244.04808172		3164.32534851		13.5919575189		0		2014-04-04 16:01:39
9		3772.07310798		3666.79627434		12.366417785		0		2014-04-04 16:02:09
9		3606.40992231		3504.19920724		11.5316585945		0		2014-04-04 16:02:39
9		2814.20042491		2726.62645475		7.84802135732		0		2014-04-04 16:03:09
9		1706.32312159		1644.40782672		18.2669303301		0		2014-04-04 16:03:39
9		713.6624727		676.466005682		6.02922849791		0		2014-04-04 16:04:09
9		216.880013141		207.829328548		5.91846701381		0		2014-04-04 16:04:39
9		1354.98032378		1352.7104833		11.2458650212		0		2014-04-04 16:12:50
9		3043.78653829		2910.61074723		14.0278531522		0		2014-04-04 16:13:20
9		5487.32042023		3271.77446035		11.0090877315		0		2014-04-04 16:13:50
9		7747.20510094		3355.35768352		16.9177763889		0		2014-04-04 16:14:20
9		8931.20447587		3279.65654963		28.9221063492		0		2014-04-04 16:14:50
9		8598.45665931		3206.6240567		30.7858617942		0		2014-04-04 16:15:20
9		6877.79227862		3289.94901984		11.1439		0		2014-04-04 16:15:50
9		4431.35215818		3090.02837341		19.5804833333		0		2014-04-04 16:16:20
9		2203.29068412		2145.23315081		5.70435416667		0		2014-04-04 16:16:50
9		1052.80415071		1033.48754839		9.642875		0		2014-04-04 16:17:20
9		1429.59422109		1433.41494232		6.16190023519		0		2014-04-04 16:17:51
9		3186.00354229		3013.70649088		13.3807013557		0		2014-04-04 16:18:21
9		5639.6305874		3195.91142501		14.5303757088		0		2014-04-04 16:18:51
9		7845.51994		3407.99219902		17.0285393736		0		2014-04-04 16:19:21
9		8953.87028018		3307.3858393		15.7761740741		0		2014-04-04 16:19:51
9		1355.12908563		1365.75828578		13.9500020171		0		2014-04-04 16:37:24
9		3039.79303462		3052.55987288		4.35478419328		0		2014-04-04 16:37:54
9		5485.6037779		5521.47730115		4.80878936654		0		2014-04-04 16:38:24
9		7745.79653276		7730.76051552		4.57831133276		0		2014-04-04 16:38:54
9		8933.21348575		8901.63823671		4.65348513688		0		2014-04-04 16:39:24
9		8588.54111888		8522.31968315		3.67730358603		0		2014-04-04 16:39:54
9		6845.8164476		6792.41390792		3.16496172789		0		2014-04-04 16:40:24
9		4392.03289247		4371.0342134		4.28036111111		0		2014-04-04 16:40:54
9		1355.15147098		1361.68954551		8.70743473119		0		2014-04-04 16:42:14
9		3045.1025537		3088.00507041		4.84626232661		0		2014-04-04 16:42:44
9		5495.07961063		5495.0809154		5.16802091401		0		2014-04-04 16:43:14
9		7749.48990506		7742.24197823		5.84142809685		0		2014-04-04 16:43:44
9		8932.94187282		8487.94823108		5.70448521341		0		2014-04-04 16:44:14
9		8592.80810269		7224.33844523		13.9545939553		0		2014-04-04 16:44:44
8		6859.96046735		6315.50801718		8.49521855595		0		2014-04-04 16:45:14
8		4405.69729645		4344.20586336		12.1936319444		0		2014-04-04 16:45:44
8		2184.87550562		2163.75777704		2.57927578178		0		2014-04-04 16:46:14
8		1049.84208439		1040.54606341		3.42185020246		0		2014-04-04 16:46:44
8		1437.16481342		1448.83905171		3.60270427564		0		2014-04-04 16:47:14
7		3206.69652328		3230.447499		4.52708088438		0		2014-04-04 16:47:44
7		5669.6390747		5612.91543125		4.45590938654		0		2014-04-04 16:48:14
7		7869.36174148		6447.96329477		6.00663597514		0		2014-04-04 16:48:44
7		1356.4774088		1371.62577086		10.3262631045		0		2014-04-04 16:51:23
7		3046.39150744		3067.88251592		3.39122667463		0		2014-04-04 16:51:54
7		5496.96280346		5488.69695076		5.03129159467		0		2014-04-04 16:52:24
7		7747.68293627		7438.032982		5.90536362892		0		2014-04-04 16:52:54
7		8932.75351463		7822.95274117		7.3421372549		0		2014-04-04 16:53:24
7		8592.98439458		8028.43775498		6.67952335742		0		2014-04-04 16:53:54
8		6861.74485747		6779.02571958		6.43100490196		0		2014-04-04 16:54:24
8		4409.94802678		4352.25938982		7.30005462455		0		2014-04-04 16:54:54
8		2188.204629		2159.6017832		2.54537141732		0		2014-04-04 16:55:24
8		1050.37832057		1040.10162492		2.02895168103		0		2014-04-04 16:55:54
8		1435.28495996		1448.55274816		3.52602264239		0		2014-04-04 16:56:24
9		3199.92849815		3226.77294092		4.87898192732		0		2014-04-04 16:56:54
9		5665.23761891		5629.60927173		5.03883819331		0		2014-04-04 16:57:24
9		7869.6445086		7805.11540304		6.25621903707		0		2014-04-04 16:57:54
9		8959.85821929		8748.16364811		4.81866966783		0		2014-04-04 16:58:24
9		1356.49533157		1371.11205775		7.07723492305		0		2014-04-04 17:00:36
9		3047.46690078		3053.79079496		5.36992163009		0		2014-04-04 17:01:06
9		5494.35945505		5521.67413435		3.84051025327		0		2014-04-04 17:01:36
9		7758.86426998		7725.85977086		5.94652972472		0		2014-04-04 17:02:06
9		8936.38288749		8851.63337727		5.12838338191		0		2014-04-04 17:02:36
9		8581.07775602		8384.19453218		5.91728916673		0		2014-04-04 17:03:06
8		6832.70372337		6804.27708944		3.44529976852		0		2014-04-04 17:03:36
8		4376.36433704		4350.61776131		2.83506944444		0		2014-04-04 17:04:06
8		2150.50433677		2120.11439436		2.48750825039		0		2014-04-04 17:04:36
8		1042.42896202		1033.56768834		2.19676645334		0		2014-04-04 17:05:06
8		1467.21305932		1481.92253417		2.66113033539		0		2014-04-04 17:05:36
7		3268.34055621		3293.92513422		3.88652094423		0		2014-04-04 17:06:06
7		5745.72712165		5792.53834997		4.22698416855		0		2014-04-04 17:06:36
7		7929.77190712		7891.60731941		5.75703579932		0		2014-04-04 17:07:06
7		8948.1032968		8582.96266893		6.28944147524		0		2014-04-04 17:07:36
7		8594.81388599		8161.58610058		8.15717672859		0		2014-04-04 17:08:06
6		6867.89326982		6700.21881495		6.75639753623		0		2014-04-04 17:08:36
6		4420.0068976		4373.20914718		4.28794444444		0		2014-04-04 17:09:06
6		2192.14210377		2159.37687563		2.33623758068		0		2014-04-04 17:09:37
6		1053.57583148		1045.64536045		2.30241277897		0		2014-04-04 17:10:07
6		1435.61367198		1450.08455381		3.60481192122		0		2014-04-04 17:10:37
5		3201.46561483		3197.73598473		4.75722891668		0		2014-04-04 17:11:07
5		5662.01968043		5657.62948907		5.66840149854		0		2014-04-04 17:11:37
5		7862.93259015		7465.94442816		7.33675562875		0		2014-04-04 17:12:07
5		8936.190942		7535.57219022		7.74582309203		0		2014-04-04 17:12:37
5		8584.76908237		7559.85481332		7.37744045328		0		2014-04-04 17:13:07
5		6846.40209005		6734.76804681		11.7438220899		0		2014-04-04 17:13:37
5		4393.28749097		4343.66458261		4.18108522569		0		2014-04-04 17:14:07
5		2176.64844618		2145.39182562		6.6914952381		0		2014-04-04 17:14:37
5		1048.24312723		1041.0888979		2.27506397727		0		2014-04-04 17:15:07
5		1442.41235324		1456.52535538		4.96246210829		0		2014-04-04 17:15:37
5		3214.18977032		3247.68343548		3.28609374599		0		2014-04-04 17:16:07
5		5676.96554395		5678.43234721		7.13776483104		0		2014-04-04 17:16:37
5		7874.48189914		7388.24852141		9.70192455988		0		2014-04-04 17:17:07
5		8959.57448255		7593.87564532		6.79940050557		0		2014-04-04 17:17:37
5		8514.6325491		7474.81064076		15.8828879633		0		2014-04-04 17:18:07
5		6711.40996779		6627.49148908		6.25635849436		0		2014-04-04 17:18:37
5		4246.99829743		4206.75113341		3.48877222222		0		2014-04-04 17:19:07
5		2073.7115554		2047.31544255		3.40155555556		0		2014-04-04 17:19:37
5		1027.94078047		1023.0523408		2.29581862503		0		2014-04-04 17:20:07
5		1357.07083628		1355.87250916		6.49139935588		0		2014-04-04 17:24:16
5		3051.25196897		3057.23466466		4.18789122883		0		2014-04-04 17:24:46
5		5495.13306764		5429.59144647		6.29266198276		0		2014-04-04 17:25:16
5		7751.07395604		7298.35502483		6.16483498199		0		2014-04-04 17:25:46
5		8934.10946999		7635.04014025		7.24438134199		0		2014-04-04 17:26:16
5		8586.99427898		7486.20784931		8.72255286306		0		2014-04-04 17:26:46
6		6847.52554702		6708.73618241		6.54563629634		0		2014-04-04 17:27:16
6		4392.04579214		4288.63438259		6.42840720974		0		2014-04-04 17:27:46
6		2172.62691548		2130.11463252		2.65982818321		0		2014-04-04 17:28:16
6		1046.05977072		1029.51935538		2.20417755396		0		2014-04-04 17:28:46
6		1449.88780698		1445.90138401		3.62690738636		0		2014-04-04 17:29:16
7		3230.128563		3244.38418302		3.4764385786		0		2014-04-04 17:29:46
7		5699.30136593		5671.31655282		6.54205136983		0		2014-04-04 17:30:16
7		7896.08611765		7785.10926605		8.96615489268		0		2014-04-04 17:30:46
7		8942.47896036		8585.06163326		6.47347867773		0		2014-04-04 17:31:16
7		8559.06942279		8352.73349318		5.21929008772		0		2014-04-04 17:31:46
8		6791.29677498		6679.18019253		4.10316809564		0		2014-04-04 17:32:16
8		4332.90700869		4256.60199447		5.61591866435		0		2014-04-04 17:32:47
8		2134.15920246		2089.18123349		2.39698621914		0		2014-04-04 17:33:17
8		1040.49384495		1022.97535237		2.41473013183		0		2014-04-04 17:33:47
8		1474.04904195		1477.97980236		3.70568547152		0		2014-04-04 17:34:17
9		3277.90039149		3278.43330396		3.18023255214		0		2014-04-04 17:34:47
9		5752.39137477		5705.35668729		5.68957630874		0		2014-04-04 17:35:17
9		7932.99923147		7768.88086056		4.76718367023		0		2014-04-04 17:35:47
9		8949.65483138		8810.56729847		5.29655775862		0		2014-04-04 17:36:17
9		8594.88256701		8454.66624052		4.4695421627		0		2014-04-04 17:36:47
10		6857.64559349		6728.93577998		4.20362632432		0		2014-04-04 17:37:17
10		4404.08411435		4314.93211645		4.73213888889		0		2014-04-04 17:37:47
10		2184.17383985		2134.4203955		2.39493282719		0		2014-04-04 17:38:17
10		1050.63956245		1034.34757228		2.32792311346		0		2014-04-04 17:38:47
10		1438.95261257		1444.77018619		3.6425666445		0		2014-04-04 17:39:17
10		3208.53449029		3208.21849492		3.17523384425		0		2014-04-04 17:39:47
10		5674.3170635		5659.79761554		4.66327919899		0		2014-04-04 17:40:17
10		7878.42793985		7792.56382644		4.92789710671		0		2014-04-04 17:40:47
10		8960.6684828		8807.17294104		6.23833311125		0		2014-04-04 17:41:17
10		8500.5180723		8331.77662161		4.31831894614		0		2014-04-04 17:41:47
10		6807.62154947		6700.6397557		3.69480419812		0		2014-04-04 17:42:17
10		4318.42089358		4242.71615573		2.47531113963		0		2014-04-04 17:42:47
10		2124.74885465		2082.12531666		2.37041156816		0		2014-04-04 17:43:17
10		1038.53627115		1017.91781434		2.22626268356		0		2014-04-04 17:43:47
10		1482.35354249		1487.51154497		3.07350826561		0		2014-04-04 17:44:18
10		3291.36083724		3291.83962173		4.01951933325		0		2014-04-04 17:44:48
10		5773.24948297		5738.85918345		5.7437237641		0		2014-04-04 17:45:18
10		7952.41915387		7881.89545349		4.62729405436		0		2014-04-04 17:45:48
10		8972.76705112		7567.28085905		5.30420913279		0		2014-04-04 17:46:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 16:28:10
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:03:38
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:04:08
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:04:38
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:05:08
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:05:38
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:06:08
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:06:38
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:08:17
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:08:47
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:09:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:09:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:10:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:10:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:11:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:11:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:12:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:13:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:14:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:14:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:15:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:15:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:16:18
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:16:48
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:18:12
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:18:42
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:19:12
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:19:42
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:25:44
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:26:14
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:26:44
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:27:14
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:29:16
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:29:46
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:30:16
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:30:46
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:31:16
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:31:46
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:34:02
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:34:32
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:35:02
16		5000.0		3778.17602549		0.2014		0		2014-04-10 17:35:32
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:36:02
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:36:32
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:37:02
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:37:32
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:38:02
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:38:32
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:39:02
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:39:32
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:40:02
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:40:32
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:41:02
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:41:33
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:42:03
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:42:33
15		5000.0		3778.17602549		0.2014		0		2014-04-10 17:43:03
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:04:49
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:05:19
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:05:49
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:06:19
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:06:49
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:07:19
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:10:53
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:11:23
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:11:53
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:12:23
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:12:53
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:13:23
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:13:53
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:14:23
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:14:53
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:15:23
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:15:53
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:16:23
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:20:15
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:20:45
15		5000.0		3778.17602549		0.2014		0		2014-04-10 18:21:15
