State		Lambda		Throughput		Latency		CPU		Time
8		12494.1313876		6526.72011168		29.7354337328		0		2014-04-12 21:36:29
8		12279.4002137		6624.83564198		32.5664594997		0		2014-04-12 21:36:59
8		12052.9379103		6401.10380983		33.8830301587		0		2014-04-12 21:37:29
8		11815.2605782		6489.89019655		31.9073693714		0		2014-04-12 21:37:59
8		11567.1690716		6339.16172749		34.8195130216		0		2014-04-12 21:38:29
8		11309.1847786		6577.60966495		42.6099808201		0		2014-04-12 21:38:59
8		11042.1108029		6656.58184693		30.2029384283		0		2014-04-12 21:39:29
8		10766.5465847		6302.74441562		28.6932818922		0		2014-04-12 21:39:59
8		10483.487412		6438.48818599		35.7932931174		0		2014-04-12 21:40:29
8		10193.5671857		6245.09737346		24.6909678458		0		2014-04-12 21:40:59
8		9897.52370561		6512.81814268		22.0892741611		0		2014-04-12 21:41:29
8		9596.212224		6394.26102515		16.6773105159		0		2014-04-12 21:41:59
8		9290.39682014		6151.84172358		28.6550050687		0		2014-04-12 21:42:29
8		8981.01354459		6519.3822071		28.6583874299		0		2014-04-12 21:42:59
8		8668.94333172		6781.70155899		31.4337212502		0		2014-04-12 21:43:29
8		8354.91836263		6820.86959363		15.571005291		0		2014-04-12 21:43:59
8		8039.90151543		6448.69280372		30.2368149745		0		2014-04-12 21:44:30
8		7724.76555473		6330.95908846		22.7778111403		0		2014-04-12 21:45:00
8		7410.40795442		6638.1103083		21.760764064		0		2014-04-12 21:45:30
8		7097.46460769		6153.25632287		25.1860192799		0		2014-04-12 21:46:00
8		6786.80763253		6168.51244191		19.3585279101		0		2014-04-12 21:46:30
8		6479.35627939		5980.03398959		26.4425623		0		2014-04-12 21:47:00
8		6175.82751797		5841.85079348		24.4175895833		0		2014-04-12 21:47:30
8		5877.05696963		5724.96370118		23.8274755105		0		2014-04-12 21:48:00
8		5583.40289907		5495.60157519		21.3688030464		0		2014-04-12 21:48:30
8		5295.82722412		5222.79754213		19.9463325397		0		2014-04-12 21:49:00
8		5015.98209817		4966.4358816		13.2575289007		0		2014-04-12 21:49:30
8		4758.88942949		4732.94580204		10.7181337962		0		2014-04-12 21:50:00
8		4495.24669706		4480.03901765		13.3374679414		0		2014-04-12 21:50:30
8		4253.96764767		4233.44473784		11.9050944439		0		2014-04-12 21:51:00
8		4008.8480413		4000.39426992		12.9017474603		0		2014-04-12 21:51:30
8		3774.94944883		3761.7479554		12.48232902		0		2014-04-12 21:52:00
8		3565.63599124		3547.3124398		13.3363928659		0		2014-04-12 21:52:30
8		3356.20908948		3342.43873839		13.2403556897		0		2014-04-12 21:53:00
8		3159.6487502		3153.82194225		11.4648959541		0		2014-04-12 21:53:30
8		2977.08573445		2966.11511151		10.1395033164		0		2014-04-12 21:54:00
8		2808.217839		2802.38704714		9.32396592499		0		2014-04-12 21:54:31
8		2670.83029894		2659.16683604		10.684473218		0		2014-04-12 21:55:01
8		2529.71152519		2527.86493057		10.3721482723		0		2014-04-12 21:55:31
8		2410.7256628		2387.92725161		14.345421823		0		2014-04-12 21:56:01
8		2301.13620123		2287.92333573		11.3081024231		0		2014-04-12 21:56:31
8		2207.94629457		2199.88675064		12.9735639286		0		2014-04-12 21:57:01
8		2131.41368547		2129.10871879		8.12796973081		0		2014-04-12 21:57:31
8		2075.19149582		2073.54415447		9.44250782233		0		2014-04-12 21:58:01
8		2034.04226232		2028.06334202		9.95472545339		0		2014-04-12 21:58:31
8		2008.32946236		2007.51469448		5.83824145953		0		2014-04-12 21:59:01
8		1998.07191508		1996.08841331		8.8919146231		0		2014-04-12 21:59:31
8		2005.172891		1993.61496875		8.53704686319		0		2014-04-12 22:00:01
9		2793.08155427		2793.46214363		5.13025308642		0		2014-04-12 22:04:32
9		2960.4811081		2975.0479344		11.6802364123		0		2014-04-12 22:05:02
9		3132.62455573		3138.8167334		11.797657424		0		2014-04-12 22:05:32
9		3328.0864904		3329.51064259		11.3172985361		0		2014-04-12 22:06:02
9		3525.07745881		3516.79460583		11.6646446279		0		2014-04-12 22:06:32
9		3746.20912565		3738.97932033		10.2427486464		0		2014-04-12 22:07:02
9		3964.9707348		3950.53542819		15.0021849708		0		2014-04-12 22:07:32
9		4207.54301349		4196.43256568		9.38059947723		0		2014-04-12 22:08:02
9		4461.50670285		4452.89776825		10.8827467904		0		2014-04-12 22:08:32
9		4724.34062009		4688.46948052		15.4427666502		0		2014-04-12 22:09:02
9		4996.10528345		4971.92968192		11.7343723004		0		2014-04-12 22:09:32
9		5276.32697248		5247.22246248		12.2634818964		0		2014-04-12 22:10:02
9		5547.57346302		5488.30007643		10.8895294082		0		2014-04-12 22:10:32
9		5841.20304901		5770.91203732		12.1222426081		0		2014-04-12 22:11:02
9		6123.27587272		6032.15882404		16.2857220075		0		2014-04-12 22:11:32
9		6426.76210621		6282.08827639		18.6569864461		0		2014-04-12 22:12:02
9		6733.87947015		6420.8260263		23.0373974116		0		2014-04-12 22:12:32
9		7044.34607442		6610.83442399		21.9434636312		0		2014-04-12 22:13:02
9		7357.4947243		6799.75405833		23.1073642666		0		2014-04-12 22:13:32
9		7672.0465723		6764.7672057		29.493186391		0		2014-04-12 22:14:02
9		7987.4058864		6826.69589738		23.0630227975		0		2014-04-12 22:14:33
9		8302.43892454		7012.96328834		37.2269605525		0		2014-04-12 22:15:03
9		8616.55926207		6987.81831498		28.0676565934		0		2014-04-12 22:15:33
9		8929.19478151		6928.70158903		23.1065516124		0		2014-04-12 22:16:03
9		9239.10897165		7032.80323619		24.0890394994		0		2014-04-12 22:16:33
9		9545.53218089		7192.79584161		17.7401761931		0		2014-04-12 22:17:03
9		9847.68519355		7021.11873261		25.6477506173		0		2014-04-12 22:17:33
9		10144.7350926		6978.28410857		33.6588115063		0		2014-04-12 22:18:03
9		10435.8088037		6957.48895877		22.3558429383		0		2014-04-12 22:18:33
9		10720.2542483		7006.07720117		18.9534473185		0		2014-04-12 22:19:03
9		10997.107577		7446.57627335		27.9190838053		0		2014-04-12 22:19:33
9		11266.3090609		6963.61664235		23.222378367		0		2014-04-12 22:20:03
9		11525.8181779		7303.07120366		27.4583723978		0		2014-04-12 22:20:33
9		11775.6841403		7267.41804157		29.8221719805		0		2014-04-12 22:21:03
9		12015.0766996		7087.02088436		12.377292809		0		2014-04-12 22:21:33
9		12243.4749749		7113.11390657		34.2075033069		0		2014-04-12 22:22:03
9		12460.1240067		7208.14508112		26.6774963599		0		2014-04-12 22:22:33
9		12664.5041572		7088.83183609		36.9693594771		0		2014-04-12 22:23:03
9		12855.999313		7137.35407082		56.9790690236		0		2014-04-12 22:23:33
9		13034.0447541		7143.74727292		29.883364808		0		2014-04-12 22:24:03
9		13198.3158839		7102.50959843		24.2357603721		0		2014-04-12 22:24:33
9		13348.2232977		6983.29789571		21.869962963		0		2014-04-12 22:25:03
9		13483.3143882		7255.25271952		33.2301486253		0		2014-04-12 22:25:33
9		13597.1062548		7118.29151027		25.6057294974		0		2014-04-12 22:26:04
9		13702.6067345		7264.70990541		20.8827654321		0		2014-04-12 22:26:34
9		13792.316837		7226.27690871		32.0640518519		0		2014-04-12 22:27:04
9		13866.0745315		7388.82408492		30.4945340909		0		2014-04-12 22:27:34
9		13923.7024434		7140.42413981		30.782372652		0		2014-04-12 22:28:04
9		13964.9230328		6977.72163176		23.2226210333		0		2014-04-12 22:28:34
9		13989.7060934		7018.50044914		21.2823898148		0		2014-04-12 22:29:04
9		13997.9800369		7153.73748809		20.3866414815		0		2014-04-12 22:29:34
9		13989.7117283		7095.94446193		25.0895862795		0		2014-04-12 22:30:04
9		13964.9279876		6826.83197462		25.2497068526		0		2014-04-12 22:30:34
9		13923.7078173		7137.23035161		26.6706823651		0		2014-04-12 22:31:04
9		13866.0610657		7163.15308943		24.5736742424		0		2014-04-12 22:31:34
9		13792.3185857		7294.7515466		28.2395880062		0		2014-04-12 22:32:04
9		13702.6137646		7288.17486683		20.2789821637		0		2014-04-12 22:32:34
9		13597.1595056		7081.63666691		23.2217416057		0		2014-04-12 22:33:04
9		13476.2791169		7007.70581997		41.3875424723		0		2014-04-12 22:33:34
9		13340.3004744		7154.31088559		31.9895110465		0		2014-04-12 22:34:04
9		13189.6229797		7282.62262387		26.5705165631		0		2014-04-12 22:34:34
9		13024.6730398		7262.69222163		24.1100499439		0		2014-04-12 22:35:04
9		12845.8036467		7164.02864412		27.4285626399		0		2014-04-12 22:35:34
9		12653.5845392		7221.24385793		24.2298969643		0		2014-04-12 22:36:04
9		12448.5619261		7192.28432047		29.3790073477		0		2014-04-12 22:36:34
9		12231.2338083		7159.61881753		23.8012042827		0		2014-04-12 22:37:04
9		12002.1954538		7177.94122978		27.2507091234		0		2014-04-12 22:37:35
9		11762.1970536		7202.46493729		19.0508072397		0		2014-04-12 22:38:05
9		11511.7353998		7154.93042826		27.9334481425		0		2014-04-12 22:38:35
9		11251.557909		7483.7453392		23.8320123457		0		2014-04-12 22:39:05
9		10982.4763411		7226.30056524		32.5276112438		0		2014-04-12 22:39:35
9		10705.0895595		7053.82902997		33.5399813276		0		2014-04-12 22:40:05
9		10420.2966404		7218.75528846		27.6708587266		0		2014-04-12 22:40:35
9		10128.7533179		6980.24374412		30.8669345238		0		2014-04-12 22:41:05
9		9831.3390302		6968.30243887		21.9204223844		0		2014-04-12 22:41:35
9		9528.92528929		6727.59625429		28.5578512374		0		2014-04-12 22:42:05
9		9222.14686956		6868.67926201		37.778996633		0		2014-04-12 22:42:35
9		8912.0141857		6997.30417268		24.2269401709		0		2014-04-12 22:43:05
9		8599.33159566		6926.45118537		32.1034744133		0		2014-04-12 22:43:35
9		8284.90564827		6780.51809338		23.1857429407		0		2014-04-12 22:44:05
9		7969.5199057		6632.96054099		20.2473227513		0		2014-04-12 22:44:35
